Match Number,Round Number,Date,Location,HomeTeam,AwayTeam,FTHG,FTAG
330,33,23/04/2025 00:00,Camp de Mestalla,Valencia,Espanol,
331,34,04/05/2025 00:00,Estadio Municipal de Montilivi,Girona,Mallorca,
332,34,04/05/2025 00:00,Estadio Gran Canaria,Las Palmas,Valencia,
333,34,04/05/2025 00:00,Mendizorroza,Alaves,Ath Madrid,
334,34,04/05/2025 00:00,RCDE Stadium,Espanol,Betis,
335,34,04/05/2025 00:00,Reale Arena,Sociedad,Ath Bilbao,
336,34,04/05/2025 00:00,Estadio Municipal José Zorrilla,Valladolid,Barcelona,
337,34,04/05/2025 00:00,Estadio Santiago Bernabéu,Real Madrid,Celta,
338,34,04/05/2025 00:00,Estadio de Vallecas,Vallecano,Getafe,
339,34,04/05/2025 00:00,Estadio de la Cerámica,Villarreal,Osasuna,
340,34,04/05/2025 00:00,Ramón Sánchez-Pizjuán,Sevilla,Leganes,
341,35,11/05/2025 00:00,Metropolitano Stadium,Ath Madrid,Sociedad,
342,35,11/05/2025 00:00,Estadi Olímpic Lluís Companys,Barcelona,Real Madrid,
343,35,11/05/2025 00:00,Estadio Benito Villamarín,Betis,Osasuna,
344,35,11/05/2025 00:00,Estadio ABANCA Balaídos,Celta,Sevilla,
345,35,11/05/2025 00:00,Estadio Municipal de Montilivi,Girona,Villarreal,
346,35,11/05/2025 00:00,Estadi Mallorca Son Moix,Mallorca,Valladolid,
347,35,11/05/2025 00:00,Estadio Gran Canaria,Las Palmas,Vallecano,
348,35,11/05/2025 00:00,Camp de Mestalla,Valencia,Getafe,
349,35,11/05/2025 00:00,Estadio San Mamés,Ath Bilbao,Alaves,
350,35,11/05/2025 00:00,Estadio Municipal Butarque,Leganes,Espanol,
351,36,14/05/2025 00:00,Mendizorroza,Alaves,Valencia,
352,36,14/05/2025 00:00,RCDE Stadium,Espanol,Barcelona,
353,36,14/05/2025 00:00,Coliseum,Getafe,Ath Bilbao,
354,36,14/05/2025 00:00,Estadio El Sadar,Osasuna,Ath Madrid,
355,36,14/05/2025 00:00,Estadio de Vallecas,Vallecano,Betis,
356,36,14/05/2025 00:00,Reale Arena,Sociedad,Celta,
357,36,14/05/2025 00:00,Estadio Municipal José Zorrilla,Valladolid,Girona,
358,36,14/05/2025 00:00,Estadio Santiago Bernabéu,Real Madrid,Mallorca,
359,36,14/05/2025 00:00,Ramón Sánchez-Pizjuán,Sevilla,Las Palmas,
360,36,14/05/2025 00:00,Estadio de la Cerámica,Villarreal,Leganes,
361,37,18/05/2025 00:00,Metropolitano Stadium,Ath Madrid,Betis,
362,37,18/05/2025 00:00,Estadi Olímpic Lluís Companys,Barcelona,Villarreal,
363,37,18/05/2025 00:00,Estadio ABANCA Balaídos,Celta,Vallecano,
364,37,18/05/2025 00:00,Camp de Mestalla,Valencia,Ath Bilbao,
365,37,18/05/2025 00:00,Estadi Mallorca Son Moix,Mallorca,Getafe,
366,37,18/05/2025 00:00,Reale Arena,Sociedad,Girona,
367,37,18/05/2025 00:00,Ramón Sánchez-Pizjuán,Sevilla,Real Madrid,
368,37,18/05/2025 00:00,Estadio Municipal José Zorrilla,Valladolid,Alaves,
369,37,18/05/2025 00:00,Estadio Gran Canaria,Las Palmas,Leganes,
370,37,18/05/2025 00:00,Estadio El Sadar,Osasuna,Espanol,
371,38,25/05/2025 00:00,Estadio San Mamés,Ath Bilbao,Barcelona,
372,38,25/05/2025 00:00,Estadio Benito Villamarín,Betis,Valencia,
373,38,25/05/2025 00:00,Estadio Santiago Bernabéu,Real Madrid,Sociedad,
374,38,25/05/2025 00:00,Mendizorroza,Alaves,Osasuna,
375,38,25/05/2025 00:00,Estadio Municipal Butarque,Leganes,Valladolid,
376,38,25/05/2025 00:00,RCDE Stadium,Espanol,Las Palmas,
377,38,25/05/2025 00:00,Estadio Municipal de Montilivi,Girona,Ath Madrid,
378,38,25/05/2025 00:00,Coliseum,Getafe,Celta,
379,38,25/05/2025 00:00,Estadio de Vallecas,Vallecano,Mallorca,
380,38,25/05/2025 00:00,Estadio de la Cerámica,Villarreal,Sevilla,
